app|big|mid|small|category|brand|item_name|market_price|sale_price|discount_price|date|item_specification|act
Home|家電|乾衣機/電子衣櫥|脫水機|全系列|IDEAL 愛迪爾|【IDEAL 愛迪爾】10公斤 不鏽鋼滾桶 沖脫雙用 高速脫水機(E0728 百合機)|3980|2980|2580|20221204|品牌名稱IDEAL愛迪爾重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸 |精選品牌↘限時特賣滿1件折400|null
Home|家電|洗衣機|洗衣機功能|蒸氣功能|LG 樂金|【LG 樂金】12公斤◆極窄版蒸氣變頻直立式洗衣機(WT-SD129HVG)|null|18900|17010|20221204|品牌名稱LG樂金類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色銀色產地泰國功能洗脫功能蒸氣功能 |null|null
Home|家電|冰箱|找價格|$9999以下|LG 樂金|【LG 樂金】191公升二級能效變頻右開單門冰箱(GN-Y200SV)|11900|11490|8999|20221204|品牌名稱LG樂金類型單門右開變頻容量151L~200L顏色銀色效能2級能效 |null|null
Home|家電|洗衣機|品牌旗艦館|富及第|Frigidaire 富及第|【Frigidaire 富及第】4.5KG 全自動迷你洗衣機(FAW-0451S)|9990|4990|null|20221204|品牌名稱Frigidaire富及第類型110V定頻單槽重量0kg~5kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |null|null
Home|家電|洗衣機|洗衣機類型|單槽洗衣機|LG 樂金|【家電速配★LG 樂金】13公斤◆Smart Inverter 智慧變頻洗衣機(WT-ID130MSG)|17900|15900|13900|20221204|品牌名稱LG樂金類型110V變頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色黑色產地泰國功能洗脫功能 |null|null
Home|家電|乾衣機/電子衣櫥|脫水機|全系列|ZANWA 晶華|【ZANWA 晶華】9KG 不銹鋼滾筒可沖脫高速脫水機(防滑/防震ZW-T57)|3980|2580|null|20221204|品牌名稱ZANWA晶華重量6kg~10kg內槽材質不鏽鋼+塑料顏色藍色產地中國大陸 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】594L變頻四門對開冰箱(RG616)|43900|41900|33333|20221204|品牌名稱HITACHI日立類型四門對開變頻容量501L~600L顏色黑色效能3級能效 |12/01~12/15獨家熱銷★年度低價下殺8567↘滿1件折8567|null
Home|品牌旗艦|Panasonic國際牌|館長推薦|感恩有禮賞|Panasonic 國際牌|【Panasonic 國際牌】17公斤變頻直立式洗衣機-玫瑰金(NA-V170MT-PN)|null|21900|19272|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色金色產地台灣功能洗脫功能 |null|null
Home|家電|冰箱|找款式|對開|TECO 東元|【TECO 東元】315公升 一級能效智能變頻雙開四門冰箱(R3150DTXH)|28900|19980|null|20221204|品牌名稱TECO東元類型四門對開變頻容量301L~350L顏色銀色效能1級能效 |null|null
Home|品牌旗艦|LG樂金|洗衣機/乾衣機|免曬衣乾衣機|LG 樂金|【LG 樂金】16公斤◆免曬衣乾衣機/冰瓷白(WR-16HW)|null|49900|44910|20221204|品牌名稱LG樂金類型110V電動重量16kg~20kg內槽材質不鏽鋼+塑料顏色白色產地韓國 |null|null
Home|家電|洗衣機|洗衣機功能|蒸氣功能|Haier 海爾|【Haier 海爾】12公斤3D蒸氣洗脫烘滾筒洗衣機(HWD120-198GR)|22900|17900|14900|20221204|品牌名稱Haier海爾類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色灰色產地中國大陸功能洗脫烘功能溫水洗淨蒸氣功能 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Frigidaire 富及第|【家電速配★】富及第 338L一級能效定頻雙門冰箱(FFET1222QW 福利品)|29900|14900|null|20221204|品牌名稱Frigidaire富及第類型雙門上下門右開定頻容量301L~350L顏色黑色銀色效能1級能效 |null|null
Home|家電|冰箱|找價格|$49999以下|HITACHI 日立|【HITACHI 日立】475L一級能效日製變頻五門冰箱(RHS49NJ-SW)|57900|54900|47900|20221204|品牌名稱HITACHI日立類型五門右開變頻容量401L~500L顏色白色效能1級能效 |日立年終優惠★限時飆殺7000↘滿1件折7000|null
Home|品牌旗艦|Whirlpool惠而浦|洗衣機/乾衣機|滾筒洗衣機|Whirlpool 惠而浦|【Whirlpool 惠而浦】10.5公斤Essential Clean洗脫烘變頻滾筒洗衣機(WWEB10701BW)|22400|20400|16400|20221204|品牌名稱Whirlpool惠而浦類型110V變頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫烘功能溫水洗淨 |12/01~12/31價格直擊▼破盤價滿1件折4000|null
Home|家電|冰箱|國際牌|601公升↑|Panasonic 國際牌|【Panasonic 國際牌】610公升變頻無邊框鋼板四門冰箱(NR-D611XV)|null|42800|37664|20221204|品牌名稱Panasonic國際牌類型四門右開變頻容量601L~800L顏色白色藍色效能1級能效 |null|null
